texto,label
"Desinterés por desarrollar inteligencia emocional académica",0
"Actitud defensiva ante críticas constructivas",0
"Falta de autocontrol en situaciones de presión académica",0
"Desinterés por técnicas de manejo de estrés estudiantil",0
"Actitud negativa hacia programas de apoyo psicológico",0
"Falta de consciencia sobre su propio proceso de aprendizaje",0
"Desinterés por autoevaluar su progreso académico",0
"Actitud pasiva en la búsqueda de recursos de apoyo",0
"Falta de proactividad para resolver problemas logísticos",0
"Desinterés por optimizar su entorno de estudio",0
"Actitud conformista con condiciones subóptimas de aprendizaje",0
"Falta de iniciativa para crear redes de estudio",0
"Desinterés por mentorías o tutorías disponibles",0
"Actitud escéptica hacia programas de nivelación académica",0
"Falta de compromiso con su propio proceso formativo",0
"Desinterés por explorar conexiones entre diferentes asignaturas",0
"Actitud fragmentaria hacia el conocimiento integral",0
"Falta de visión holística sobre su formación educativa",0
